date,feature_index,NO2
2020-05-15T00:00:00.000Z,0,7.467132680479456E-6
2020-05-17T00:00:00.000Z,0,1.3451739414449549E-5
2020-05-11T00:00:00.000Z,0,1.6523187787242934E-5
2020-05-13T00:00:00.000Z,0,1.049986528811039E-5
2020-05-12T00:00:00.000Z,0,1.110845600383722E-5
2020-05-14T00:00:00.000Z,0,1.7080248133944614E-5
2020-05-16T00:00:00.000Z,0,1.799143055034213E-5
2020-08-18T00:00:00.000Z,0,1.0999998140606396E-5
2020-08-19T00:00:00.000Z,0,1.885751584814568E-5
2020-08-15T00:00:00.000Z,0,2.4471017171988153E-5
2020-08-20T00:00:00.000Z,0,1.2500056319216432E-5
2020-08-17T00:00:00.000Z,0,
2020-08-14T00:00:00.000Z,0,3.642560841399245E-5
2020-08-21T00:00:00.000Z,0,1.2906036514519852E-5
2020-08-16T00:00:00.000Z,0,1.356081584650123E-5
2021-03-04T00:00:00.000Z,0,
2021-03-05T00:00:00.000Z,0,4.0682875351194525E-5
2021-03-03T00:00:00.000Z,0,2.184692160274911E-5
2021-03-08T00:00:00.000Z,0,2.7494975559723873E-5
2021-03-09T00:00:00.000Z,0,3.510880560497753E-5
2021-03-02T00:00:00.000Z,0,1.4451677270699292E-5
2021-03-06T00:00:00.000Z,0,1.821577643568162E-5
2021-03-07T00:00:00.000Z,0,
2021-04-24T00:00:00.000Z,0,1.5849473421829835E-5
2021-04-19T00:00:00.000Z,0,1.1368921070559337E-5
2021-04-26T00:00:00.000Z,0,1.5019699287135846E-5
2021-04-23T00:00:00.000Z,0,1.894464037798537E-5
2021-04-25T00:00:00.000Z,0,2.2980340872891247E-5
2021-04-21T00:00:00.000Z,0,1.4456710123845874E-5
2021-04-22T00:00:00.000Z,0,2.088129410261609E-5
2021-04-20T00:00:00.000Z,0,2.7691386442692167E-5
2020-09-12T00:00:00.000Z,0,2.1464153353288286E-5
2020-09-08T00:00:00.000Z,0,1.2751804448877617E-5
2020-09-14T00:00:00.000Z,0,1.9243203093667814E-5
2020-09-13T00:00:00.000Z,0,2.2964857571635146E-5
2020-09-07T00:00:00.000Z,0,1.1193735045625628E-5
2020-09-10T00:00:00.000Z,0,1.9805131401958133E-5
2020-09-11T00:00:00.000Z,0,1.7591096366231795E-5
2020-09-09T00:00:00.000Z,0,1.586018537208849E-5
2021-05-06T00:00:00.000Z,0,2.5025183772826992E-5
2021-05-07T00:00:00.000Z,0,
2021-05-09T00:00:00.000Z,0,2.526466382709221E-5
2021-05-10T00:00:00.000Z,0,1.2448904726625187E-5
2021-05-11T00:00:00.000Z,0,2.130546293371411E-5
2021-05-05T00:00:00.000Z,0,2.1470570702928982E-5
2021-05-12T00:00:00.000Z,0,1.7502813514748478E-5
2021-05-08T00:00:00.000Z,0,1.7244364056276265E-5
2020-10-01T00:00:00.000Z,0,1.4341993126739302E-5
2020-10-03T00:00:00.000Z,0,1.5192668183772184E-5
2020-10-02T00:00:00.000Z,0,1.8979203900926223E-5
2020-10-07T00:00:00.000Z,0,2.934295898739947E-5
2020-10-04T00:00:00.000Z,0,
2020-10-05T00:00:00.000Z,0,3.02809211461863E-5
2020-10-08T00:00:00.000Z,0,2.3858836470935785E-5
2020-10-06T00:00:00.000Z,0,1.65183415364564E-5
2021-04-11T00:00:00.000Z,0,2.0443759181636563E-5
2021-04-17T00:00:00.000Z,0,2.3011823992015303E-5
2021-04-15T00:00:00.000Z,0,2.6025956972980086E-5
2021-04-12T00:00:00.000Z,0,2.237307725181381E-5
2021-04-16T00:00:00.000Z,0,1.7953935989803664E-5
2021-04-13T00:00:00.000Z,0,
2021-04-14T00:00:00.000Z,0,2.1111926798766945E-5
2021-04-18T00:00:00.000Z,0,2.5198772378002212E-5
2021-01-08T00:00:00.000Z,0,
2021-01-12T00:00:00.000Z,0,3.793881196543225E-5
2021-01-09T00:00:00.000Z,0,3.093252962571569E-5
2021-01-10T00:00:00.000Z,0,
2021-01-07T00:00:00.000Z,0,1.5715706467744894E-5
2021-01-11T00:00:00.000Z,0,
2021-01-06T00:00:00.000Z,0,2.9385397283476777E-5
2021-01-05T00:00:00.000Z,0,
2021-02-19T00:00:00.000Z,0,3.20779909088742E-5
2021-02-15T00:00:00.000Z,0,2.3898754580859904E-5
2021-02-17T00:00:00.000Z,0,3.5704489063290464E-5
2021-02-21T00:00:00.000Z,0,1.9919793822848486E-5
2021-02-14T00:00:00.000Z,0,
2021-02-20T00:00:00.000Z,0,
2021-02-16T00:00:00.000Z,0,1.986303580755096E-5
2021-02-18T00:00:00.000Z,0,1.7762004783132095E-5
2020-06-15T00:00:00.000Z,0,1.634832525295356E-5
2020-06-14T00:00:00.000Z,0,
2020-06-13T00:00:00.000Z,0,3.1247046271962445E-5
2020-06-16T00:00:00.000Z,0,1.4687626658727026E-5
2020-06-17T00:00:00.000Z,0,1.9057991756618812E-5
2020-06-12T00:00:00.000Z,0,1.5022618849040251E-5
2020-06-18T00:00:00.000Z,0,1.2642480568886709E-5
2020-06-11T00:00:00.000Z,0,1.7830992558426966E-5
2020-10-28T00:00:00.000Z,0,1.9186573293457817E-5
2020-10-25T00:00:00.000Z,0,2.7301618501951452E-5
2020-10-31T00:00:00.000Z,0,
2020-10-30T00:00:00.000Z,0,
2020-10-27T00:00:00.000Z,0,3.1513869544141926E-5
2020-10-26T00:00:00.000Z,0,2.958966725318219E-5
2020-11-01T00:00:00.000Z,0,1.635155747083315E-5
2020-10-29T00:00:00.000Z,0,
2020-11-19T00:00:00.000Z,0,
2020-11-18T00:00:00.000Z,0,1.9981645478813E-5
2020-11-20T00:00:00.000Z,0,
2020-11-21T00:00:00.000Z,0,2.513647245905304E-5
2020-11-22T00:00:00.000Z,0,1.9080044643892E-5
2020-11-25T00:00:00.000Z,0,
2020-11-24T00:00:00.000Z,0,4.5201634929981085E-5
2020-11-23T00:00:00.000Z,0,3.6321945420543976E-5
2020-12-12T00:00:00.000Z,0,
2020-12-15T00:00:00.000Z,0,2.764348861092003E-5
2020-12-19T00:00:00.000Z,0,2.9210308970174413E-5
2020-12-18T00:00:00.000Z,0,
2020-12-13T00:00:00.000Z,0,
2020-12-17T00:00:00.000Z,0,
2020-12-14T00:00:00.000Z,0,3.380231040258271E-5
2020-12-16T00:00:00.000Z,0,2.7647544835704857E-5
2020-10-17T00:00:00.000Z,0,
2020-10-22T00:00:00.000Z,0,2.5294358985255322E-5
2020-10-21T00:00:00.000Z,0,3.6755227483808994E-5
2020-10-18T00:00:00.000Z,0,
2020-10-19T00:00:00.000Z,0,
2020-10-20T00:00:00.000Z,0,
2020-10-23T00:00:00.000Z,0,
2020-10-24T00:00:00.000Z,0,
2020-12-29T00:00:00.000Z,0,
2021-01-02T00:00:00.000Z,0,
2020-12-30T00:00:00.000Z,0,
2021-01-01T00:00:00.000Z,0,
2021-01-03T00:00:00.000Z,0,2.357039911657921E-5
2021-01-04T00:00:00.000Z,0,
2020-12-28T00:00:00.000Z,0,
2020-12-31T00:00:00.000Z,0,2.213650325509E-5
2020-05-19T00:00:00.000Z,0,3.2461245479810585E-5
